Id,Country,Region
1,Afghanistan,Asia
2,Albania,Europa
3,Algeria,Africa
4,American Samoa,Oceania
5,Andorra,Europa
6,Angola,Africa
7,Anguilla,America
8,Antarctica (the territory South of 60 deg S),Antartida
9,Antigua and Barbuda,America
10,Argentina,America
11,Armenia,Asia
12,Aruba,America
13,Australia,Oceania
14,Austria,Europa
15,Azerbaijan,Asia
16,Bahamas,America
17,Bahrain,Asia
18,Bangladesh,Asia
19,Barbados,America
20,Belarus,Europa
21,Belgium,Europa
22,Belize,America
23,Benin,Africa
24,Bermuda,America
25,Bhutan,Asia
26,Bolivia,America
27,Bosnia and Herzegovina,Europa
28,Botswana,Africa
29,Bouvet Island (Bouvetoya),Antartida
30,Brazil,America
31,British Indian Ocean Territory (Chagos Archipelago),Asia
32,British Virgin Islands,America
33,Brunei Darussalam,Asia
34,Bulgaria,Europa
35,Burkina Faso,Africa
36,Burundi,Africa
37,Cambodia,Asia
38,Cameroon,Africa
39,Canada,America
40,Cape Verde,Africa
41,Cayman Islands,America
42,Central African Republic,Africa
43,Chad,Africa
44,Chile,America
45,China,Asia
46,Christmas Island,Oceania
47,Cocos (Keeling) Islands,Oceania
48,Colombia,America
49,Comoros,Africa
50,Congo,Africa
51,Cook Islands,Oceania
52,Costa Rica,America
53,Cote d'Ivoire,Africa
54,Croatia,Europa
55,Cuba,America
56,Cyprus,Asia
57,Czech Republic,Europa
58,Denmark,Europa
59,Djibouti,Africa
60,Dominica,America
61,Dominican Republic,America
62,Ecuador,America
63,Egypt,Africa
64,El Salvador,America
65,Equatorial Guinea,Africa
66,Eritrea,Africa
67,Estonia,Europa
68,Ethiopia,Africa
69,Falkland Islands (Malvinas),America
70,Faroe Islands,Europa
71,Fiji,Oceania
72,Finland,Europa
73,France,Europa
74,French Guiana,America
75,French Polynesia,Oceania
76,French Southern Territories,Antartida
77,Gabon,Africa
78,Gambia,Africa
79,Georgia,Asia
80,Germany,Europa
81,Ghana,Africa
82,Gibraltar,Europa
83,Greece,Europa
84,Greenland,America
85,Grenada,America
86,Guadeloupe,America
87,Guam,Oceania
88,Guatemala,America
89,Guernsey,Europa
90,Guinea,Africa
