implementacion,n,barajado,semilla,t_carga_us,t_insercion_us,t_busqueda_pk_prom_us,t_busqueda_pk_peor_us,t_scan_us,t_reorganizacion_us,paginas,registros_vivos,bytes_en_disco,tumbas,bytes_desperdiciados,paginas_leidas,paginas_escritas,paginas_leidas_por_busqueda
heap,1000,0,42,2201,25333,77,167,183,130,36,1000,151552,300,42205,1035,1071,16
heap,1000,1,42,1900,22709,83,169,268,132,36,1000,151552,300,42221,1035,1071,16
heap,10000,0,42,16323,167447,1254,2721,3192,1966,358,10000,1470464,3000,420509,10357,10715,158
heap,10000,1,42,16922,240642,826,1708,1764,1279,358,10000,1470464,3000,421040,10357,10715,160
heap,100000,0,42,142750,1661912,13780,33880,26892,18072,3575,100000,14647296,30000,4204206,103574,107149,1598
heap,100000,1,42,122079,1955176,12877,29698,28501,21881,3576,100000,14651392,30000,4208941,103575,107151,1599
heap,1000,0,42,2183,25374,79,168,171,133,36,1000,151552,300,42205,1035,1071,16
heap,1000,1,42,1519,20174,83,257,195,133,36,1000,151552,300,42221,1035,1071,16
heap,10000,0,42,13267,167583,945,1764,2220,1898,358,10000,1470464,3000,420509,10357,10715,158
heap,10000,1,42,17313,232706,854,1798,1864,1689,358,10000,1470464,3000,421040,10357,10715,160
heap,100000,0,42,120060,1675360,12213,32822,25688,17315,3575,100000,14647296,30000,4204206,103574,107149,1598
heap,100000,1,42,121058,1669246,12139,22151,25691,16969,3576,100000,14651392,30000,4208941,103575,107151,1599
