estructura,n,barajado,construccion_ms,construccion_masiva_ms,datos_ms,bytes_total,bytes_adicional,altura,igualdad_us,igualdad_pag_indice,igualdad_pag_datos,soporta_rango,rango100_us,rango100_pag,rango1000_us,rango1000_pag,ordenamiento_ms,ordenamiento_pag,insercion_us,insercion_pag_escritas,eliminacion_us,eliminacion_pag_escritas
bplus_agrupado,1000,0,1.37882,0.856097,0,376832,196832,2,5.37075,2,0,1,28.4159,11.04,250.6,91,0.217639,91,1.7629,0.21,4.8857,0.75
bplus_no_agrupado,1000,0,0.28483,0,5.88218,237568,45056,2,6.95052,2.016,1,1,149.245,102.87,1333.57,1010,1.33126,1010,8.37379,1.13,9.25314,1.12
hash_ram,1000,0,2.66398,0,7.85651,205792,13280,4,5.14435,0,1,0,66.0306,46,66.5636,46,1.44182,1046,11.8723,1.08,14.5349,1
bplus_agrupado,10000,0,15.0974,7.92188,0,3743744,1943744,3,9.13913,3,0,1,29.0719,12.08,253.966,93.95,2.02531,911,1.97279,0.183,13.1625,1.486
bplus_no_agrupado,10000,0,2.99344,0,60.0217,2277376,409600,2,7.50686,2.019,1,1,140.831,102.99,1376.97,1011.75,13.6618,10099,6.7167,1.111,8.2035,1.143
hash_ram,10000,0,26.0537,0,73.5359,2008256,140480,8,5.57717,0,1,0,794.308,455,777.927,455,15.3807,10455,9.29079,1.09,28.8501,1
bplus_agrupado,100000,0,150.357,84.722,0,37384192,19384192,3,10.9433,3,0,1,32.0843,12.11,273.305,93.88,18.4668,9092,1.83634,0.183,19.0516,1.8519
bplus_no_agrupado,100000,0,34.4355,0,680.061,22683648,4059136,3,11.7741,3.025,1,1,146.023,103.99,1359.38,1012.81,135.704,100982,7.7266,1.111,20.2219,2.2445
hash_ram,100000,0,275.34,0,543.438,19988352,1363840,11,6.27774,0,1,0,8197.43,4546,7591.43,4546,153.036,104546,10.6184,1.0908,655.046,1
bplus_agrupado,100000,1,916.515,81.639,0,26497024,8497024,3,9.64029,3,0,1,27.1706,9.43,224.346,67.35,15.2184,6453,1.63629,0.183,10.9814,1.1779
bplus_no_agrupado,100000,1,564.411,0,696.406,21467136,2842624,3,10.3142,3.01,1,1,207.58,103.74,2076.87,1009.86,197.811,100690,7.07326,1.111,17.7201,1.9908
hash_ram,100000,1,272.484,0,582.893,19988352,1363840,11,6.30027,0,1,0,8142.09,4546,8016.88,4546,262.907,104546,10.5528,1.0908,651.594,1
